n,theta_decimal,rho_decimal,bin,strand,slip,jump,next_bin,reference_x_numeric,approximate_x_numeric,approximate_bin_numeric,phase_error_numeric,ideal_bin_certified,numeric_bin_agrees
105,0.1064311812610409385183824,0.1508160691805966022169133,4,1,0,15,19,0.10643118126104094,0.1064311812610379,4,3.0531133177191805e-15,true,true
106,0.4883971925111460903137956,0.0474905079346975222380267,19,1,1,14,33,0.4883971925111461,0.48839719251114305,19,3.0531133177191805e-15,true,true
107,0.8703632037612512421092087,0.9441649466887984422591402,33,0,0,15,9,0.8703632037612512,0.8703632037612482,33,2.9976021664879227e-15,true,true
108,0.2523292150113563939046219,0.8408393854428993622802537,9,0,0,15,24,0.2523292150113564,0.2523292150113534,9,2.9976021664879227e-15,true,true
109,0.6342952262614615457000351,0.7375138241970002823013671,24,0,0,15,0,0.6342952262614615,0.6342952262614585,24,2.9976021664879227e-15,true,true
110,0.0162612375115666974954482,0.6341882629511012023224806,0,0,0,15,15,0.016261237511566697,0.01626123751156361,0,3.1086244689504383e-15,true,true
111,0.3982272487616718492908614,0.5308627017052021223435940,15,0,0,15,30,0.39822724876167187,0.39822724876166876,15,3.1086244689504383e-15,true,true
112,0.7801932600117770010862746,0.4275371404593030423647075,30,0,0,15,6,0.780193260011777,0.7801932600117739,30,3.1086244689504383e-15,true,true
113,0.1621592712618821528816877,0.3242115792134039623858210,6,0,0,15,21,0.16215927126188215,0.16215927126187912,6,2.9976021664879227e-15,true,true
114,0.5441252825119873046771009,0.2208860179675048824069344,21,0,0,15,36,0.5441252825119873,0.5441252825119842,21,3.1086244689504383e-15,true,true
115,0.9260912937620924564725140,0.1175604567216058024280479,36,0,0,15,12,0.9260912937620924,0.9260912937620893,36,3.1086244689504383e-15,true,true
116,0.3080573050121976082679272,0.0142348954757067224491613,12,0,1,14,26,0.30805730501219764,0.3080573050121944,12,3.219646771412954e-15,true,true
117,0.6900233162623027600633404,0.9109093342298076424702748,26,2,0,15,2,0.6900233162623027,0.6900233162622995,26,3.219646771412954e-15,true,true
118,0.0719893275124079118587535,0.8075837729839085624913882,2,2,0,15,17,0.07198932751240791,0.07198932751240461,2,3.3306690738754696e-15,true,true
119,0.4539553387625130636541667,0.7042582117380094825125017,17,2,0,15,32,0.45395533876251304,0.45395533876250976,17,3.2751579226442118e-15,true,true
120,0.8359213500126182154495799,0.6009326504921104025336152,32,2,0,15,8,0.8359213500126182,0.8359213500126149,32,3.3306690738754696e-15,true,true
121,0.2178873612627233672449930,0.4976070892462113225547286,8,2,0,15,23,0.21788736126272337,0.21788736126272013,8,3.219646771412954e-15,true,true
122,0.5998533725128285190404062,0.3942815280003122425758421,23,2,0,15,38,0.5998533725128286,0.5998533725128252,23,3.3306690738754696e-15,true,true
123,0.9818193837629336708358194,0.2909559667544131625969555,38,2,0,15,14,0.9818193837629337,0.9818193837629303,38,3.3306690738754696e-15,true,true
124,0.3637853950130388226312325,0.1876304055085140826180690,14,2,0,15,29,0.3637853950130388,0.3637853950130354,14,3.3861802251067274e-15,true,true
125,0.7457514062631439744266457,0.0843048442626150026391825,29,2,1,14,4,0.745751406263144,0.7457514062631405,29,3.4416913763379853e-15,true,true
126,0.1277174175132491262220589,0.9809792830167159226602959,4,1,0,15,19,0.12771741751324914,0.1277174175132456,4,3.552713678800501e-15,true,true
127,0.5096834287633542780174720,0.8776537217708168426814094,19,1,0,15,34,0.5096834287633543,0.5096834287633507,19,3.552713678800501e-15,true,true
128,0.8916494400134594298128852,0.7743281605249177627025228,34,1,0,15,10,0.8916494400134595,0.8916494400134558,34,3.6637359812630166e-15,true,true
129,0.2736154512635645816082984,0.6710025992790186827236363,10,1,0,15,25,0.27361545126356457,0.2736154512635609,10,3.6637359812630166e-15,true,true
130,0.6555814625136697334037115,0.5676770380331196027447498,25,1,0,15,1,0.6555814625136698,0.655581462513666,25,3.774758283725532e-15,true,true
